pre_window_seconds,post_window_seconds,anchor_domain_mode,resampling,variant_role,seed,iterations,analysed_recoveries,excluded_recoveries,observed_matched,observed_fraction,expected_fraction,analytic_expected_fraction,ratio_observed_over_expected,null_p05,null_p50,null_p95,null_stdev,observed_percentile_in_null,empirical_p_value
60,120,interior,independent,primary,20260830,10000,74,5,34,0.459459,0.176720,0.176270,2.599925,0.108108,0.175676,0.256757,0.043183,1.000000,0.000100
60,120,interior,experiment_shift,sensitivity,20260830,10000,74,5,34,0.459459,0.175678,0.176270,2.615344,0.108108,0.175676,0.256757,0.045365,1.000000,0.000100
60,120,full_interval,independent,sensitivity,20260830,10000,74,5,34,0.459459,0.186186,0.186742,2.467738,0.121622,0.189189,0.256757,0.044805,1.000000,0.000100
60,120,full_interval,experiment_shift,sensitivity,20260830,10000,74,5,34,0.459459,0.187009,0.186742,2.456878,0.108108,0.189189,0.270270,0.047367,1.000000,0.000100
300,300,interior,independent,primary,20260830,10000,74,5,35,0.472973,0.355264,0.354850,1.331330,0.270270,0.351351,0.445946,0.052507,0.980400,0.019698
300,300,interior,experiment_shift,sensitivity,20260830,10000,74,5,35,0.472973,0.354715,0.354850,1.333389,0.270270,0.351351,0.445946,0.056701,0.968700,0.031397
300,300,full_interval,independent,sensitivity,20260830,10000,74,5,35,0.472973,0.379435,0.380744,1.246519,0.297297,0.378378,0.472973,0.054212,0.946600,0.053495
300,300,full_interval,experiment_shift,sensitivity,20260830,10000,74,5,35,0.472973,0.380855,0.380744,1.241870,0.283784,0.378378,0.486486,0.058684,0.920700,0.079392
600,600,interior,independent,primary,20260830,10000,74,5,37,0.500000,0.511435,0.512126,0.977641,0.418919,0.513514,0.594595,0.053694,0.367100,0.632937
600,600,interior,experiment_shift,sensitivity,20260830,10000,74,5,37,0.500000,0.511368,0.512126,0.977770,0.418919,0.513514,0.608108,0.058120,0.384900,0.615138
600,600,full_interval,independent,sensitivity,20260830,10000,74,5,37,0.500000,0.546008,0.547544,0.915737,0.459459,0.540541,0.635135,0.053351,0.163100,0.836916
600,600,full_interval,experiment_shift,sensitivity,20260830,10000,74,5,37,0.500000,0.548372,0.547544,0.911790,0.445946,0.554054,0.648649,0.059563,0.179600,0.820418
