observation_id,action_id,action_timestamp,action_type,candidate_evidence_timestamp,candidate_evidence_type,classification,reason,source_reference,anchor_source,recovery_action,pre_window_seconds,post_window_seconds,matched_event_count,matched_event_rows,review_method
obs-a076064e592c7691,OP001TA002A001,11:40:42,labelled_recovery,11:40:35;11:40:37;11:40:38;11:40:38;11:40:39;11:40:39;11:40:40;11:40:40;11:40:41;11:40:41;11:40:42;11:41:25;11:41:25;11:41:30;11:41:30;11:41:33;11:41:34;11:41:39;11:41:39;11:41:55;11:41:56,operation_log_event,matched,21 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_001/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,21,100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120,automated_temporal_match
obs-8d44842dbbb95907,OP002TA001A001,14:59:12,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_002/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-c3b767ce8e966190,OP003TA001A001,11:33:18,labelled_recovery,11:33:14;11:33:16;11:33:17;11:33:17;11:33:18;11:33:18;11:33:19;11:33:19;11:33:19;11:33:20;11:33:21,operation_log_event,matched,11 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_003/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,11,46;47;48;49;50;51;52;53;54;55;56,automated_temporal_match
obs-467eb53c97dd620a,OP004TA001A001,11:30:20,labelled_recovery,11:30:16;11:30:18;11:30:19;11:30:22;11:30:23;11:30:27;11:30:30;11:30:31;11:30:31;11:30:32;11:30:32;11:30:37;11:30:38;11:30:38,operation_log_event,matched,14 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_004/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,14,51;52;53;54;55;56;57;58;59;60;61;62;63;64,automated_temporal_match
obs-fedd17d52b98adf2,OP005TA002A001,10:21:34,labelled_recovery,10:21:25;10:21:28;10:21:28;10:21:28;10:21:29;10:21:29;10:21:30;10:21:30;10:21:31;10:21:32;10:21:32,operation_log_event,matched,11 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_005/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,11,46;47;48;49;50;51;52;53;54;55;56,automated_temporal_match
obs-bad6a6739bc67135,OP006TA001A001,12:10:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_006/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-4b07d66c9e5d1c2b,OP007TA001A001,14:19:46,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_007/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-e66c309fea690a09,OP009TA001A001,11:57:06,labelled_recovery,11:57:00;11:57:04;11:57:04;11:57:06;11:57:09;11:57:12;11:57:15;11:57:16;11:57:17;11:57:18;11:57:18,operation_log_event,matched,11 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_009/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,11,51;52;53;54;55;56;57;58;59;60;61,automated_temporal_match
obs-e5e956d1179953b2,OP011TA001A001,12:40:55,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_011/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-207b3262035ac874,OP012TA001A002,10:55:54,labelled_recovery,10:55:39;10:55:42;10:55:42;10:55:45;10:55:48;10:55:49;10:55:52;10:55:52;10:55:52;10:55:54;10:55:55;10:55:58;10:55:59,operation_log_event,matched,13 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_012/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,13,46;47;48;49;50;51;52;53;54;55;56;57;58,automated_temporal_match
obs-5ca7a7beb2d53215,OP012TA002A001,10:43:18,labelled_recovery,10:43:13;10:43:15;10:43:15;10:43:18;10:43:21;10:43:22;10:43:25;10:43:26;10:43:26;10:43:27;10:43:28,operation_log_event,matched,11 event(s) in inclusive temporal window,batch_dist_ternary_acetone+butan-1-ol+methanol/operating_point_012/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,11,49;50;51;52;53;54;55;56;57;58;59,automated_temporal_match
obs-870d14960d156aa9,OP001TA009A002,11:22:42,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_001/test_anormal_experiment_009,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-2984598344e00f0d,OP001TA010A001,15:40:12,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_001/test_anormal_experiment_010,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-5139991b63f58d8a,OP001TA011A001,14:34:45,labelled_recovery,14:34:44,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_001/test_anormal_experiment_011,perturbation_end,Restore normal state,60,120,1,26,automated_temporal_match
obs-61b03e80fe6d7475,OP001TA012A001,13:16:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_001/test_anormal_experiment_012,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-f90880ea87b537fa,OP002TA001A001,14:37:19,labelled_recovery,14:37:19,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_002/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,1,75,automated_temporal_match
obs-54cde38dd3b48fc0,OP002TA002A001,14:58:00,labelled_recovery,14:58:44;14:58:59;14:58:44;14:58:59,operation_log_event,matched,4 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_002/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,4,27;28;55;56,automated_temporal_match
obs-1663d65090069435,OP002TA003A001,12:20:20,labelled_recovery,12:20:19,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_002/test_anormal_experiment_003,perturbation_end,Restore normal state,60,120,1,43,automated_temporal_match
obs-3fde595f8547834e,OP002TA004A001,15:31:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_002/test_anormal_experiment_004,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-bb4ba77eed97a135,OP002TA005A001,10:47:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_002/test_anormal_experiment_005,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-464d84c7e4c9454f,OP002TA005A002,11:20:06,labelled_recovery,11:20:06,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_002/test_anormal_experiment_005,perturbation_end,Restore normal state,60,120,1,28,automated_temporal_match
obs-6f0e9d3841f0a1de,OP003TA001A001,15:38:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-8d33d2eebe6f4e91,OP003TA001A003,15:59:33,labelled_recovery,15:59:33,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,1,31,automated_temporal_match
